72,Dead Poets Society,1989,0,128,0,"Comedy, Drama",Peter Weir
73,My Left Foot,1989,0,103,0,"Biography, Drama",Jim Sheridan
74,Dances with Wolves,1990,0,181,0,"Adventure, Drama, Western",Kevin Costner
75,JFK,1991,0,189,0,"Drama, History, Thriller",Oliver Stone
76,Scent of a Woman,1992,0,156,0,Drama,Martin Brest
77,In the Name of the Father,1993,0,133,0,"Biography, Drama, History",Jim Sheridan
78,Quiz Show,1994,0,133,0,"Drama, History",Robert Redford
79,The Shanwshank Redemption,1994,0,142,0,"Crime, Drama",Frank Darabont
80,Good Will Hunting,1997,0,126,0,Drama,Gus Van Sant
81,Saving Private Ryan,1998,0,169,0,"Action, Drama, War",Steven Spielberg
82,"Crouching Tiger, Hidden Dragon",2000,0,120,0,"Action, Drama, Romance",Ang Lee
83,The Aviator,2004,0,170,0,"Biography, Drama",Martin Scorsese
84,Brokeback Mountain,2005,0,134,0,"Drama, Romance",Ang Lee
85,Flags of Our Fathers,2006,0,135,0,"Drama, History, War",Clint Eastwood
86,Letters from Iwo Jima,2006,1,141,0,"Drama, History, War",Clint Eastwood
87,There Will Be Blood,2007,0,158,0,Drama,Paul Thomas Anderson
88,Winter's Bone,2010,0,100,0,Drama,Debra Granik
89,Life of Pi,2012,0,127,0,"Adventure, Drama, Fantasy",Ang Lee
90,Dallas Buyers Club,2013,0,117,0,"Biography, Drama",Jean-Marc Vall\xc3\xa9e
91,Philomena,2013,0,98,0,"Biography, Drama",Stephen Frears
92,The Wolf of Well Street,2013,0,42,0,Comedy,Mike Stoklasa
93,Wag the Dog,1997,0,97,0,"Comedy, Drama",Barry Levinson
94,The Ides of march),2011,0,101,0,Drama,George Clooney
95,Tinker Tailor Soldier Spy,2011,0,127,0,"Drama, Mystery, Thriller",Tomas Alfredson
96,Song of the Sea,2014,0,93,0,"Animation, Family, Fantasy",Tomm Moore
97,The Tale of the Princess Kaguya,2014,0,137,0,"Animation, Drama, Fantasy",Isao Takahata
98,Five Easy Pieces,1970,0,98,0,Drama,Bob Rafelson
99,Dog Day Afternoon,1975,0,125,0,"Crime, Drama",Sidney Lumet
100,Harry and Tonto,1974,0,115,0,"Adventure, Comedy, Drama",Paul Mazursky
101,Network,1976,0,121,0,Drama,Sidney Lumet
102,China Syndrome,1979,0,122,0,"Drama, Thriller",James Bridges
103,My American Uncle,1980,0,125,0,"Comedy, Drama, Romance",Alain Resnais
104,The Fisher King,1991,0,137,0,"Comedy, Drama",Terry Gilliam
105,Heavenly Creatures,1994,0,99,0,"Biography, Crime, Drama",Peter Jackson
106,Hotel Rwanda,2004,0,121,0,"Drama, History, War",Terry George
107,Lars and the Real Girl,2007,0,106,0,"Comedy, Drama",Craig Gillespie
108,Catch me if you can,2002,0,141,0,"Biography, Crime, Drama",Steven Spielberg
109,Investigation of a Citizen Above Suspicion,1970,0,112,0,"Crime, Drama",Elio Petri
110,Dodes'ka-den,1970,0,140,0,Drama,Akira Kurosawa
111,Potop,1974,0,315,0,"Adventure, History, Romance",Jerzy Hoffman
112,Dersu Uzala,1975,0,144,0,"Adventure, Biography, Drama",Akira Kurosawa
113,Promised land,1975,0,106,0,Drama,Gus Van Sant
114,Colonel Redl,1985,0,144,0,"Biography, Drama, History",Istv\xc3\xa1n Szab\xc3\xb3
115,Vesnicko ma strediskova,1985,0,98,0,Comedy,Jir\xc3\xad Menzel
116,Babette's Feast,1987,0,102,0,"Comedy, Drama, Music",Gabriel Axel
117,Pelle the Conqueror,1988,0,157,0,Drama,Bille August
118,Salaam Bombay!,1988,0,113,0,"Crime, Drama",Mira Nair
119,Women on the Verge of a Nervous Breakdown,1988,0,90,0,"Comedy, Drama",Pedro Almod\xc3\xb3var
120,Cinema Paradiso,1988,0,155,0,Drama,Giuseppe Tornatore
121,Journey of Hope,1990,0,110,0,Drama,Xavier Koller
122,Children of Nature,1991,0,82,0,"Drama, Romance",Fri\xc3\xb0rik \xc3\x9e\xc3\xb3r Fri\xc3\xb0riksson
123,Elementary School,1991,0,30,0,Family,Jan Sver\xc3\xa1k
124,Raise the Red Lantern,1991,0,125,0,Drama,Yimou Zhang
125,Close to Eden,1992,0,119,0,Drama,Nikita Mikhalkov
126,Farewell My Concubine,1993,0,171,0,"Drama, Music, Romance",Chen Kaige
127,Antonia's Line,1995,0,102,0,"Comedy, Drama",Marleen Gorris
128,Kolya,1996,0,105,0,"Comedy, Drama, Music",Jan Sver\xc3\xa1k
129,Prisoner of the Mountains,1996,0,99,0,"Drama, War",Sergey Bodrov
130,The Thief,1997,0,96,0,Drama,Pavel Chukhray
131,Children of Heaven,1998,0,89,0,"Drama, Family",Majid Majidi
132,All About My Mother,1999,0,101,0,Drama,Pedro Almod\xc3\xb3var
133,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,0,96,0,"Action, Adventure, Drama",Woo-Ping Yuen
134,Elling,2001,0,89,0,"Comedy, Drama",Petter N\xc3\xa6ss
135,Evil,2003,0,113,0,Drama,Mikael H\xc3\xa5fstr\xc3\xb6m
136,The Sea Inside,2004,0,125,0,"Biography, Drama, Romance",Alejandro Amen\xc3\xa1bar
137,Joyeux Noel,2005,0,116,0,"Drama, History, Music",Christian Carion
138,Pan's Labyrinth,2006,0,118,0,"Drama, Fantasy, War",Guillermo del Toro
139,The Secret in Their Eyes,2009,0,129,0,"Drama, Mystery, Thriller",Juan Jos\xc3\xa9 Campanella
140,The Hunt,2012,0,115,0,Drama,Thomas Vinterberg
141,Leviathan,2014,0,140,0,Drama,Andrey Zvyagintsev
142,Tangerines,2013,0,87,0,"Drama, War",Zaza Urushadze
143,Wild Tales,2014,0,122,0,"Comedy, Drama, Thriller",Dami\xc3\xa1n Szifr\xc3\xb3n
144,The Last Emperor,1987,0,163,0,"Biography, Drama, History",Bernardo Bertolucci
145,Vera Drake,2004,0,125,0,"Crime, Drama",Mike Leigh
146,Sleuth,1972,0,138,0,"Mystery, Thriller",Joseph L. Mankiewicz
